7D80 0000 7602 0000 0000 0000 0000 0000
73FA 0000 0000 0000 0000 0000 0000 0000
8610 0000 0000 0000 0000 0000 7B96 6D17
0000 0000 0000 0000 0000 6EA7 0000 0000
0000 0000 0000 0000 0000 0000 0000 78F5
79A8 0000 0000 0000 0000 722D 0000 0000
0000 0000 0000 0000 0000 8835 6EB6 0000
0000 81B9 0000 0000 0000 0000 0000 0000
0000 0000 0000 7CC3 0000 0000 0000 0000
0000 0000 8500 0000 0000 0000 0000 0000
8B08 0000 0000 0000 84D4 0000 0000 0000
0000 0000 0000 0000 725C 7ADD 0000 7DDF
0000 0000 6EE2 0000 0000 6CE5 0000 8167
73FF 6F69 886A 0000 0000 0000 78EE 0000
0000 0000 0000 0000 0000 6F75 0000 0000
86F8 8079 74FA 0000 0000 0000 0000 827F
stats: inserts 32 members 32 total 32

